I-iSQI,I-bSQI,I-pSQI,I-sSQI,I-kSQI,I-fSQI,II-iSQI,II-bSQI,II-pSQI,II-sSQI,II-kSQI,II-fSQI,III-iSQI,III-bSQI,III-pSQI,III-sSQI,III-kSQI,III-fSQI,AVR-iSQI,AVR-bSQI,AVR-pSQI,AVR-sSQI,AVR-kSQI,AVR-fSQI,AVL-iSQI,AVL-bSQI,AVL-pSQI,AVL-sSQI,AVL-kSQI,AVL-fSQI,AVF-iSQI,AVF-bSQI,AVF-pSQI,AVF-sSQI,AVF-kSQI,AVF-fSQI,V1-iSQI,V1-bSQI,V1-pSQI,V1-sSQI,V1-kSQI,V1-fSQI,V2-iSQI,V2-bSQI,V2-pSQI,V2-sSQI,V2-kSQI,V2-fSQI,V3-iSQI,V3-bSQI,V3-pSQI,V3-sSQI,V3-kSQI,V3-fSQI,V4-iSQI,V4-bSQI,V4-pSQI,V4-sSQI,V4-kSQI,V4-fSQI,V5-iSQI,V5-bSQI,V5-pSQI,V5-sSQI,V5-kSQI,V5-fSQI,V6-iSQI,V6-bSQI,V6-pSQI,V6-sSQI,V6-kSQI,V6-fSQI,label
0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,0,0,0,1,0,0,1.155274e+00,1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,-1
7.142857e-02,1.818182e-01,4.829611e-01,-2.542352e-01,1,8.401680e-03,1.538462e-01,2.000000e-01,9.334336e-01,-6.229201e-01,1,1.000200e-02,1.538462e-01,2.000000e-01,5.802630e-01,-2.251968e-02,1,6.001200e-03,0,2.000000e-01,7.968427e-01,6.680177e-01,1,1.440288e-02,1.538462e-01,2.000000e-01,7.210938e-01,-3.285144e-01,1,9.201840e-03,1.538462e-01,2.000000e-01,5.180955e-01,-2.129140e-01,1,8.801760e-03,7.142857e-02,1.818182e-01,1.150908e+00,-2.521707e-01,1,1.480296e-02,7.142857e-02,2.000000e-01,4.530424e-01,-2.778225e-03,0,1.440288e-02,7.142857e-02,1.818182e-01,3.235485e-01,-2.682591e-01,0,1.420284e-02,0,1.818182e-01,7.338698e-01,-3.126069e-03,1,1.480296e-02,0,2.000000e-01,1.095336e+00,-4.951413e-01,1,1.420284e-02,7.142857e-02,1.818182e-01,1.107716e+00,-6.905217e-01,1,9.601920e-03,1
0,1.666667e-01,2.977601e-01,-2.760933e-01,1,9.401880e-03,1.111111e-01,1.538462e-01,4.156060e-02,-1.762652e-01,1,6.801360e-03,1.111111e-01,1.428571e-01,8.313629e-02,4.982943e-01,1,8.001600e-03,1.111111e-01,1.818182e-01,1.157129e-01,5.019672e-01,1,8.001600e-03,1.111111e-01,1.666667e-01,3.669256e-02,3.186772e-01,1,9.001800e-03,5.263158e-02,1.538462e-01,2.324655e-01,-3.566577e-01,1,8.201640e-03,1.111111e-01,3.636364e-01,4.740099e-01,-1.652672e+00,1,3.000600e-03,1.111111e-01,1.052632e-01,1.315321e-01,-4.346018e-01,1,5.001000e-03,0,0,8.064186e-02,-6.756630e-01,1,1.600320e-03,1.764706e-01,1.666667e-01,2.741757e-01,-6.683723e-01,1,6.401280e-03,1.764706e-01,3.636364e-01,4.649258e-01,-1.476130e+00,1,3.000600e-03,5.263158e-02,2.857143e-01,4.156888e-01,-1.520185e+00,1,4.400880e-03,-1
7.692308e-02,1.500000e-01,1.018698e+00,-3.297958e-02,0,7.401480e-03,1.200000e-01,2.000000e-01,9.469585e-01,2.472487e-01,0,6.201240e-03,7.692308e-02,2.000000e-01,1.179250e+00,5.161455e-01,0,6.201240e-03,1.200000e-01,2.000000e-01,7.948901e-01,-1.831611e-01,0,8.601720e-03,3.703704e-02,1.500000e-01,1.100079e+00,3.863589e-01,0,5.001000e-03,1.200000e-01,2.000000e-01,1.256578e+00,-5.431270e-01,0,7.601520e-03,3.703704e-02,1.904762e-01,6.267604e-01,-3.802871e-01,0,9.001800e-03,3.703704e-02,8.333333e-02,2.123772e-01,-3.135118e-01,0,2.800560e-03,7.692308e-02,2.000000e-01,8.071696e-01,1.823395e-01,0,3.600720e-03,1.200000e-01,2.105263e-01,9.097886e-01,-3.144151e-01,0,3.000600e-03,3.703704e-02,1.578947e-01,6.975073e-01,-2.685804e-02,0,5.201040e-03,7.692308e-02,2.000000e-01,1.024275e+00,8.254307e-02,0,7.401480e-03,-1
0,2.000000e-01,7.443459e-01,1.864245e+00,1,7.601520e-03,1.111111e-01,2.000000e-01,1.183199e+00,7.956059e-01,1,8.601720e-03,2.500000e-01,2.000000e-01,8.382699e-01,-9.640974e-01,1,9.601920e-03,2.500000e-01,2.000000e-01,1.032677e+00,-1.468752e+00,1,6.401280e-03,0,2.000000e-01,9.356927e-01,-5.019404e-01,1,1.100220e-02,1.111111e-01,2.000000e-01,7.044570e-01,1.719773e+00,1,9.001800e-03,2.500000e-01,2.000000e-01,1.088283e+00,-1.385810e+00,1,2.540508e-02,2.500000e-01,2.000000e-01,1.292020e+00,2.192202e+00,1,3.660732e-02,1.111111e-01,2.000000e-01,7.571690e-01,3.206520e-02,1,2.500500e-02,2.500000e-01,2.000000e-01,1.364162e+00,3.404005e-01,1,2.320464e-02,2.500000e-01,2.000000e-01,1.130642e+00,1.363685e+00,1,1.400280e-02,2.500000e-01,2.000000e-01,1.088838e+00,1.775626e+00,1,1.520304e-02,1
0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155278e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155268e+00,1.274456e+00,1,8.819764e-01,0,0,1.155279e+00,1.274456e+00,1,2.082416e-01,0,0,1.155271e+00,-1.274456e+00,1,2.720544e-01,0,0,1.155266e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155282e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155271e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155272e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155281e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155270e+00,-1.274456e+00,1,2.082416e-01,0,0,1.155272e+00,-1.274456e+00,1,2.082416e-01,-1
2.857143e-01,1.818182e-01,8.680123e-01,-3.156861e-01,1,2.720544e-02,2.857143e-01,1.666667e-01,8.377863e-01,-1.087502e-01,1,1.120224e-02,1.250000e-01,2.000000e-01,3.643714e-01,-7.533948e-01,1,8.601720e-03,2.857143e-01,1.818182e-01,9.818115e-01,-2.394865e-01,1,1.840368e-02,1.250000e-01,1.666667e-01,6.205443e-01,-4.872806e-01,1,8.801760e-03,2.857143e-01,2.000000e-01,3.037123e-01,8.278870e-01,1,1.140228e-02,2.857143e-01,1.818182e-01,1.222050e+00,-5.655675e-01,1,2.320464e-02,2.857143e-01,1.818182e-01,8.008833e-01,-1.113096e+00,1,1.100220e-02,1.250000e-01,1.818182e-01,1.021530e+00,-2.090325e+00,1,2.460492e-02,2.857143e-01,1.818182e-01,1.109692e+00,-1.027481e+00,1,2.160432e-02,2.857143e-01,1.818182e-01,1.088497e+00,-2.495461e-02,1,2.260452e-02,2.857143e-01,1.818182e-01,1.145495e+00,-2.032846e-01,1,2.780556e-02,1
9.090909e-02,2.000000e-01,7.780493e-01,1.756107e+00,1,2.100420e-02,3.333333e-01,2.000000e-01,8.636998e-01,-9.683281e-01,1,1.260252e-02,3.333333e-01,2.000000e-01,1.036084e+00,-1.012021e+00,1,7.201440e-03,3.333333e-01,2.000000e-01,7.912701e-01,-1.423339e+00,1,1.160232e-02,3.333333e-01,2.000000e-01,1.166206e+00,-6.651455e-01,0,7.201440e-03,3.333333e-01,2.000000e-01,8.792238e-01,1.380310e+00,1,8.001600e-03,3.333333e-01,2.000000e-01,9.281454e-01,-1.445396e+00,1,1.220244e-02,3.333333e-01,1.875000e-01,3.338736e-01,-2.302641e-01,1,7.601520e-03,3.333333e-01,1.666667e-01,1.248583e-01,4.889222e-01,1,7.401480e-03,3.333333e-01,2.000000e-01,8.894375e-01,-6.092849e-01,1,1.900380e-02,3.333333e-01,2.000000e-01,9.213951e-01,8.054232e-01,1,1.460292e-02,2.000000e-01,2.000000e-01,8.669436e-01,1.119922e+00,1,2.220444e-02,1
1.428571e-01,1.875000e-01,1.029493e+00,-3.354062e-01,1,1.380276e-02,6.666667e-02,1.875000e-01,1.165863e+00,-1.957153e+00,1,9.601920e-03,2.307692e-01,1.875000e-01,1.224925e+00,-4.559285e-01,1,7.801560e-03,2.307692e-01,1.875000e-01,1.100702e+00,1.738750e+00,1,1.380276e-02,2.307692e-01,1.875000e-01,1.215649e+00,-1.096107e+00,1,8.401680e-03,2.307692e-01,1.875000e-01,1.148011e+00,5.359109e-02,1,9.801960e-03,1.428571e-01,1.875000e-01,7.962486e-01,-7.224307e-02,1,9.801960e-03,2.307692e-01,1.875000e-01,1.077891e+00,-2.636533e-01,0,8.001600e-03,2.307692e-01,1.875000e-01,7.638574e-01,-7.797348e-01,1,1.660332e-02,2.307692e-01,1.875000e-01,9.403868e-01,-1.539923e+00,1,1.620324e-02,2.307692e-01,1.875000e-01,1.037080e+00,-1.903554e+00,1,1.700340e-02,1.428571e-01,1.875000e-01,8.866361e-01,-2.972019e-01,1,2.300460e-02,1
3.333333e-01,1.666667e-01,8.320609e-01,1.167576e+00,1,8.001600e-03,3.333333e-01,1.666667e-01,1.040526e+00,5.203190e-01,1,8.401680e-03,3.333333e-01,1.538462e-01,9.195234e-01,-6.407530e-01,1,6.201240e-03,3.333333e-01,1.666667e-01,7.339219e-01,-8.992063e-01,1,7.201440e-03,3.333333e-01,1.666667e-01,9.024620e-01,-9.377626e-02,1,5.801160e-03,3.333333e-01,1.538462e-01,9.332318e-01,1.355315e+00,1,6.001200e-03,3.333333e-01,1.666667e-01,5.094502e-01,-6.161798e-01,1,6.001200e-03,1.428571e-01,1.666667e-01,3.616529e-01,-2.709683e-01,1,3.600720e-03,3.333333e-01,1.666667e-01,5.109757e-01,-1.454009e+00,1,9.001800e-03,3.333333e-01,1.666667e-01,1.190508e+00,-2.933335e+00,1,9.601920e-03,3.333333e-01,1.666667e-01,6.938722e-01,6.694577e-01,1,1.260252e-02,1.428571e-01,1.666667e-01,6.679662e-01,8.274219e-01,1,8.201640e-03,1
